return_id,order_id,return_date,reason
81,3516,2025-04-06,Product damaged
82,4338,2025-05-22,Product damaged
83,6634,2024-10-11,Quality issue
84,9566,2024-10-11,Quality issue
85,3443,2024-12-09,Not satisfied
86,8818,2025-07-04,Size issue
87,2580,2025-04-01,Product damaged
88,51,2024-05-05,Size issue
89,7002,2025-10-13,Late delivery
90,9381,2024-03-30,Quality issue
91,4215,2025-04-15,Not satisfied
92,1849,2024-11-25,Size issue
93,1494,2025-01-14,Product damaged
94,1112,2024-07-13,Not satisfied
95,7595,2025-07-25,Quality issue
96,4088,2024-12-13,Size issue
97,70,2025-03-23,Not satisfied
98,777,2024-03-25,Product damaged
99,8516,2024-01-24,Product damaged
100,2660,2025-04-16,Quality issue
101,7153,2025-12-29,Quality issue
102,5201,2024-08-30,Late delivery
103,8641,2024-02-24,Wrong product
104,9705,2025-06-23,Late delivery
105,2687,2025-01-30,Product damaged
106,4686,2025-04-26,Product damaged
107,538,2025-03-06,Not satisfied
108,7779,2025-12-31,Wrong product
109,3355,2025-03-22,Not satisfied
110,4528,2026-01-04,Quality issue
111,7873,2025-09-04,Quality issue
112,4902,2025-11-11,Product damaged
113,9279,2025-03-14,Product damaged
114,8139,2024-03-28,Size issue
115,8804,2024-11-27,Quality issue
116,7281,2026-01-11,Product damaged
117,7150,2024-05-26,Product damaged
118,9698,2025-05-27,Product damaged
119,8775,2025-03-02,Size issue
120,2906,2026-01-01,Wrong product
121,8285,2025-12-02,Quality issue
122,296,2024-12-26,Wrong product
123,2690,2025-11-25,Product damaged
124,623,2024-11-12,Product damaged
125,2873,2025-05-17,Wrong product
126,3922,2025-12-07,Size issue
127,8913,2024-10-19,Not satisfied
128,534,2025-12-29,Not satisfied
129,4408,2024-01-19,Late delivery
130,1809,2024-04-23,Not satisfied
131,3904,2025-04-02,Late delivery
132,883,2025-02-18,Wrong product
133,3312,2025-03-13,Size issue
134,7459,2024-11-16,Size issue
135,65,2024-04-30,Size issue
136,3385,2024-05-20,Late delivery
137,1858,2025-05-01,Wrong product
138,6281,2024-10-20,Product damaged
139,8575,2024-10-18,Not satisfied
140,2504,2025-02-06,Size issue
141,3960,2024-03-29,Wrong product
142,7730,2025-06-23,Product damaged
143,8674,2024-09-09,Size issue
144,9200,2025-07-12,Quality issue
145,7143,2025-05-31,Late delivery
146,589,2024-10-25,Late delivery
147,5040,2025-05-03,Wrong product
148,3524,2025-12-09,Not satisfied
149,9449,2025-06-19,Late delivery
150,5358,2024-08-25,Product damaged
151,185,2025-02-18,Quality issue
152,6740,2025-04-11,Late delivery
153,447,2024-09-06,Product damaged
154,3870,2024-12-16,Late delivery
155,54,2024-04-17,Wrong product
156,9343,2025-05-04,Product damaged
157,6353,2026-01-06,Wrong product
158,848,2025-04-25,Product damaged
159,234,2025-11-10,Size issue
160,5741,2025-03-05,Not satisfied
161,2911,2024-09-13,Not satisfied
162,2081,2024-03-30,Not satisfied
163,5428,2024-11-02,Quality issue
164,5580,2025-04-26,Wrong product
165,7756,2025-07-13,Quality issue
166,4409,2025-12-30,Product damaged
167,8026,2024-05-17,Wrong product
168,8582,2025-09-30,Quality issue
169,8133,2025-04-28,Product damaged
170,9975,2025-11-20,Quality issue
171,1465,2024-10-07,Wrong product
172,768,2024-11-20,Quality issue
173,8933,2025-04-05,Quality issue
174,8348,2024-04-20,Wrong product
175,7241,2025-01-19,Product damaged
176,7151,2025-05-07,Wrong product
177,2034,2024-09-22,Not satisfied
178,2539,2025-12-04,Late delivery
179,1868,2025-07-18,Wrong product
180,8662,2025-05-28,Late delivery
181,4967,2025-03-27,Late delivery
182,9662,2025-06-10,Not satisfied
183,9166,2025-12-05,Quality issue
184,5685,2024-07-04,Size issue
185,2966,2025-10-08,Not satisfied
186,1770,2025-02-05,Late delivery
187,1383,2025-01-14,Size issue
188,183,2025-12-25,Wrong product
189,780,2025-09-01,Late delivery
190,9790,2025-09-03,Product damaged
191,3365,2025-07-08,Product damaged
192,1335,2024-02-15,Late delivery
193,606,2025-11-17,Not satisfied
194,4010,2025-06-17,Quality issue
195,2089,2024-03-29,Quality issue
196,8857,2024-11-03,Late delivery
197,6245,2024-12-19,Not satisfied
198,8861,2024-04-10,Not satisfied
199,6474,2024-05-03,Quality issue
200,7751,2024-03-03,Wrong product
201,5980,2024-01-25,Not satisfied
202,6788,2025-06-05,Wrong product
203,4968,2024-06-19,Late delivery
204,6482,2024-03-23,Late delivery
205,5493,2024-03-01,Not satisfied
206,7230,2024-04-19,Product damaged
207,7585,2025-02-11,Not satisfied
208,7031,2024-02-12,Product damaged
209,7854,2025-05-22,Not satisfied
210,4172,2025-07-19,Quality issue
211,2021,2024-05-13,Not satisfied
212,3143,2024-11-28,Wrong product
213,6787,2024-05-25,Not satisfied
214,5862,2024-11-09,Not satisfied
215,3374,2025-10-10,Wrong product
216,8525,2024-06-26,Product damaged
217,5102,2025-05-10,Wrong product
218,2870,2024-05-08,Wrong product
219,6569,2025-11-27,Product damaged
220,3412,2024-04-19,Wrong product
221,9910,2025-03-11,Wrong product
222,3971,2024-05-13,Product damaged
223,4339,2024-04-19,Wrong product
224,9846,2024-11-24,Product damaged
225,2461,2024-05-02,Wrong product
226,917,2024-07-06,Wrong product
227,852,2024-10-12,Quality issue
228,8087,2024-02-28,Wrong product
229,2252,2025-03-01,Product damaged
230,4413,2024-02-23,Product damaged
231,492,2024-12-11,Product damaged
232,2494,2025-08-26,Quality issue
233,3972,2025-02-08,Product damaged
234,7254,2024-02-01,Late delivery
235,5109,2025-03-21,Product damaged
236,2992,2025-10-15,Product damaged
237,9409,2024-05-08,Late delivery
238,8931,2025-08-29,Size issue
239,5988,2025-11-01,Product damaged
240,839,2024-09-24,Wrong product
241,5498,2024-10-13,Product damaged
242,5882,2024-04-24,Wrong product
243,6815,2024-03-24,Late delivery
244,342,2024-05-08,Size issue
245,5736,2025-11-07,Wrong product
246,493,2025-10-12,Late delivery
247,5036,2024-07-06,Late delivery
248,8371,2025-11-09,Quality issue
249,3933,2025-05-10,Product damaged
250,6699,2025-10-09,Wrong product
251,3411,2025-12-31,Quality issue
252,504,2025-08-27,Late delivery
253,7020,2025-08-11,Wrong product
254,4554,2025-07-13,Quality issue
255,4389,2025-03-29,Quality issue
256,7157,2024-04-24,Late delivery
257,2631,2024-06-19,Size issue
258,8549,2024-01-16,Wrong product
259,7017,2025-04-26,Quality issue
260,4665,2026-01-04,Size issue
261,1241,2024-04-27,Product damaged
262,6888,2025-10-05,Product damaged
263,6078,2024-05-03,Late delivery
264,869,2024-03-28,Wrong product
265,7297,2024-12-19,Not satisfied
266,1245,2024-09-04,Product damaged
267,8687,2024-09-30,Quality issue
268,2538,2024-02-04,Late delivery
269,518,2026-01-09,Late delivery
270,5289,2025-09-19,Not satisfied
271,5031,2024-08-12,Not satisfied
272,935,2025-11-11,Late delivery
273,4495,2025-07-23,Wrong product
274,7911,2024-10-31,Wrong product
275,4903,2024-10-02,Not satisfied
276,1162,2025-01-21,Late delivery
277,1720,2024-04-18,Size issue
278,8630,2024-04-09,Late delivery
279,3371,2024-04-16,Size issue
280,733,2025-06-26,Product damaged
281,286,2026-01-12,Product damaged
282,329,2024-10-17,Size issue
283,6986,2024-12-03,Size issue
284,8029,2025-05-27,Not satisfied
285,4155,2024-12-26,Size issue
286,397,2025-11-03,Wrong product
287,6923,2024-10-23,Not satisfied
288,8323,2024-01-24,Wrong product
289,7374,2024-09-19,Wrong product
290,3261,2024-04-30,Quality issue
291,2722,2025-03-16,Size issue
292,2743,2025-08-26,Quality issue
293,3946,2024-01-26,Size issue
294,5474,2024-12-09,Size issue
295,2262,2025-11-22,Late delivery
296,7139,2024-04-22,Size issue
297,5033,2024-02-13,Size issue
298,3811,2025-12-10,Product damaged
299,4469,2025-03-18,Quality issue
300,243,2025-01-04,Product damaged
301,7883,2025-03-11,Product damaged
302,3663,2024-12-27,Wrong product
303,2951,2025-12-16,Late delivery
304,6880,2024-03-25,Late delivery
305,1537,2025-02-15,Product damaged
306,727,2024-09-20,Late delivery
307,1371,2024-06-24,Wrong product
308,6973,2026-01-07,Quality issue
309,3225,2024-03-24,Not satisfied
310,2656,2024-10-23,Quality issue
311,6534,2024-04-04,Late delivery
312,2891,2024-05-20,Not satisfied
313,8150,2025-02-20,Product damaged
314,8373,2024-05-29,Late delivery
315,9257,2025-09-21,Product damaged
316,9170,2024-11-23,Quality issue
317,9037,2025-03-30,Product damaged
318,3157,2025-10-16,Quality issue
319,1680,2024-07-05,Size issue
320,3939,2024-04-26,Product damaged
321,1115,2025-01-11,Product damaged
322,331,2025-09-22,Late delivery
323,3255,2024-08-07,Quality issue
324,1401,2024-08-08,Quality issue
325,7966,2024-12-02,Product damaged
326,2359,2025-04-30,Product damaged
327,5932,2024-05-18,Quality issue
328,5802,2024-10-12,Product damaged
329,3907,2025-12-24,Size issue
330,7874,2025-06-18,Not satisfied
331,3211,2025-03-30,Wrong product
332,5703,2025-12-13,Late delivery
333,889,2025-02-02,Size issue
334,1695,2024-08-12,Product damaged
335,7553,2025-04-11,Wrong product
336,1723,2025-08-18,Wrong product
337,4867,2025-06-03,Size issue
338,9819,2025-09-23,Size issue
339,3205,2024-05-22,Product damaged
340,3431,2025-12-14,Wrong product
341,979,2024-11-14,Not satisfied
342,1753,2025-12-09,Wrong product
343,4233,2024-08-12,Wrong product
344,8808,2025-10-11,Product damaged
345,4599,2024-02-07,Wrong product
346,7565,2026-01-13,Quality issue
347,3481,2025-09-08,Late delivery
348,9322,2024-07-02,Size issue
349,8209,2025-02-23,Product damaged
350,9408,2025-10-15,Late delivery
351,5413,2024-09-30,Quality issue
352,6530,2024-10-09,Late delivery
353,5054,2025-06-26,Product damaged
354,3973,2025-11-16,Not satisfied
355,5539,2025-05-08,Quality issue
356,9384,2025-09-11,Late delivery
357,7797,2024-03-23,Product damaged
358,8831,2024-08-10,Late delivery
359,8539,2025-02-14,Quality issue
360,9511,2024-12-04,Wrong product
361,4938,2025-12-11,Wrong product
362,9233,2024-12-15,Wrong product
363,340,2024-09-10,Wrong product
364,644,2025-07-28,Not satisfied
365,445,2025-01-10,Quality issue
366,6427,2025-05-12,Quality issue
367,3483,2025-03-11,Size issue
368,6194,2025-05-16,Product damaged
369,120,2024-12-23,Quality issue
370,8367,2025-12-15,Wrong product
371,5942,2025-07-24,Late delivery
372,9838,2025-03-25,Wrong product
373,7603,2024-06-02,Not satisfied
374,1083,2024-06-05,Late delivery
375,3506,2024-10-09,Quality issue
376,9396,2025-02-06,Product damaged
377,5804,2024-06-01,Size issue
378,2775,2025-06-28,Product damaged
379,4948,2025-02-23,Not satisfied
380,7859,2025-04-24,Not satisfied
381,4635,2024-04-27,Product damaged
382,8276,2025-03-19,Late delivery
383,3795,2024-10-05,Quality issue
384,4148,2025-04-02,Product damaged
385,7529,2025-12-03,Quality issue
386,4946,2025-10-12,Late delivery
387,993,2025-08-28,Quality issue
388,1423,2025-09-16,Size issue
389,5308,2025-05-18,Size issue
390,7100,2025-12-28,Not satisfied
391,8578,2025-06-10,Quality issue
392,1900,2024-09-17,Not satisfied
393,5490,2025-02-13,Product damaged
394,2106,2024-04-08,Product damaged
395,3166,2025-11-12,Late delivery
396,1116,2024-11-29,Wrong product
397,6514,2025-08-27,Not satisfied
398,4065,2024-09-30,Quality issue
399,2933,2025-04-30,Wrong product
400,7476,2025-02-09,Size issue
401,5449,2025-04-06,Product damaged
402,1063,2024-09-05,Late delivery
403,3227,2024-12-22,Late delivery
404,5506,2025-05-01,Not satisfied
405,9735,2025-07-18,Size issue
406,1114,2025-10-18,Quality issue
407,7648,2024-01-26,Product damaged
408,5767,2025-08-16,Late delivery
409,5543,2024-12-25,Wrong product
410,7551,2024-12-02,Quality issue
411,3622,2024-05-16,Not satisfied
412,8053,2025-11-07,Product damaged
413,3686,2025-08-01,Size issue
414,7567,2025-06-26,Product damaged
415,791,2024-04-24,Size issue
416,6564,2024-02-06,Size issue
417,6861,2025-04-20,Quality issue
418,3024,2025-03-08,Not satisfied
419,4464,2024-10-09,Size issue
420,9093,2025-08-04,Product damaged
421,2036,2025-05-21,Product damaged
422,9000,2025-10-02,Product damaged
423,7219,2024-12-17,Product damaged
424,617,2025-11-16,Wrong product
425,1527,2025-10-20,Size issue
426,9374,2025-01-11,Quality issue
427,3551,2025-11-19,Wrong product
428,6557,2025-01-29,Not satisfied
429,4218,2024-01-27,Wrong product
430,2735,2025-10-06,Not satisfied
431,6434,2024-05-11,Quality issue
432,5355,2024-05-17,Wrong product
433,695,2024-02-12,Quality issue
434,3474,2024-02-21,Size issue
435,4284,2024-12-19,Not satisfied
436,4512,2025-04-15,Size issue
437,8034,2025-09-22,Size issue
438,5987,2025-09-10,Quality issue
439,2225,2024-01-19,Not satisfied
440,4905,2025-06-10,Late delivery
441,7205,2025-07-31,Late delivery
442,9543,2024-09-06,Late delivery
443,9874,2024-02-17,Late delivery
444,274,2024-08-30,Late delivery
445,5437,2024-05-31,Quality issue
446,4603,2025-05-24,Wrong product
447,6738,2025-05-20,Wrong product
448,3203,2024-06-30,Size issue
449,8560,2024-02-19,Late delivery
450,6902,2025-01-19,Wrong product
451,635,2025-12-06,Product damaged
452,4023,2024-05-22,Not satisfied
453,6668,2025-04-06,Not satisfied
454,1678,2025-04-07,Product damaged
455,998,2024-06-30,Size issue
456,4085,2025-11-30,Not satisfied
457,5252,2024-03-21,Late delivery
458,350,2025-07-07,Wrong product
459,3626,2025-01-26,Quality issue
460,7575,2025-07-03,Product damaged
461,3855,2025-10-18,Size issue
462,6224,2025-02-13,Wrong product
463,9320,2024-11-13,Wrong product
464,6689,2025-04-07,Late delivery
465,7119,2024-09-30,Quality issue
466,7908,2024-02-16,Not satisfied
467,4493,2024-11-28,Size issue
468,5974,2025-08-05,Late delivery
469,2419,2024-07-22,Quality issue
470,9988,2024-10-03,Not satisfied
471,7683,2026-01-15,Not satisfied
472,2260,2025-06-01,Product damaged
473,5293,2025-02-12,Not satisfied
474,6499,2025-12-16,Product damaged
475,5633,2024-04-19,Product damaged
476,9589,2024-07-16,Product damaged
477,9529,2024-04-12,Quality issue
478,8608,2025-05-03,Size issue
479,6134,2025-02-10,Not satisfied
480,6935,2025-07-20,Late delivery
481,3400,2025-03-11,Size issue
482,8437,2025-11-29,Product damaged
483,1266,2024-03-21,Size issue
484,5357,2025-04-01,Size issue
485,5903,2024-08-05,Quality issue
486,7209,2025-03-18,Late delivery
487,1257,2025-04-14,Late delivery
488,222,2024-06-13,Late delivery
489,3313,2025-08-18,Wrong product
490,2407,2025-07-01,Late delivery
491,3197,2025-08-27,Late delivery
492,6219,2024-05-11,Wrong product
493,4645,2025-05-08,Late delivery
494,5467,2024-10-15,Size issue
495,5401,2024-11-20,Quality issue
496,4889,2026-01-08,Wrong product
497,6233,2024-05-04,Wrong product
498,7259,2025-12-09,Late delivery
499,8547,2025-08-15,Wrong product
500,3053,2025-11-24,Not satisfied
