order_id,customer_id,product_id,order_date,quantity,discount,payment_method,status,product_name,category,sub_category,price,gross_sales,discount_amount,net_sales
24,145,6,2025-05-13,1,10.0,Wallet,Delivered,Laptop 6,Electronics,Computers,65000.0,65000.0,6500.0,58500.0
25,983,61,2025-01-26,1,20.0,Card,Delivered,Casual Shirt 1,Fashion,Clothing,1800.0,1800.0,360.0,1440.0
26,200,173,2025-09-11,4,0.0,Cash,Delivered,Vacuum Cleaner 3,Home Appliances,Cleaning,9000.0,36000.0,0.0,36000.0
27,316,172,2025-05-31,4,0.0,UPI,Delivered,Vacuum Cleaner 2,Home Appliances,Cleaning,9000.0,36000.0,0.0,36000.0
28,331,183,2025-04-03,1,5.0,UPI,Delivered,Air Cooler 3,Home Appliances,Cooling,11000.0,11000.0,550.0,10450.0
29,23,150,2024-07-16,2,10.0,UPI,Delivered,Bed Frame 10,Furniture,Beds,22000.0,44000.0,4400.0,39600.0
30,883,90,2025-11-11,3,0.0,Net Banking,Delivered,Backpack 10,Fashion,Bags,2200.0,6600.0,0.0,6600.0
31,162,109,2024-04-07,2,0.0,UPI,Delivered,Office Chair 9,Furniture,Chairs,8500.0,17000.0,0.0,17000.0
32,454,35,2025-07-26,1,0.0,Card,Delivered,Headphones 5,Electronics,Accessories,3500.0,3500.0,0.0,3500.0
33,557,146,2024-05-29,4,15.0,Cash,Delivered,Bed Frame 6,Furniture,Beds,22000.0,88000.0,13200.0,74800.0
34,421,88,2024-08-16,2,15.0,UPI,Delivered,Backpack 8,Fashion,Bags,2200.0,4400.0,660.0,3740.0
35,359,186,2025-06-20,5,5.0,Card,Delivered,Air Cooler 6,Home Appliances,Cooling,11000.0,55000.0,2750.0,52250.0
36,513,196,2024-03-18,2,10.0,Wallet,Delivered,Air Fryer 6,Home Appliances,Kitchen,6500.0,13000.0,1300.0,11700.0
37,590,200,2025-03-23,2,20.0,Cash,Delivered,Air Fryer 10,Home Appliances,Kitchen,6500.0,13000.0,2600.0,10400.0
38,710,135,2024-11-07,1,10.0,Wallet,Delivered,Sofa 5,Furniture,Sofas,28000.0,28000.0,2800.0,25200.0
39,289,94,2025-10-27,1,20.0,Cash,Delivered,Smart Watch 4,Fashion,Watches,6500.0,6500.0,1300.0,5200.0
40,671,198,2024-02-23,4,20.0,Net Banking,Delivered,Air Fryer 8,Home Appliances,Kitchen,6500.0,26000.0,5200.0,20800.0
41,766,84,2024-10-11,5,10.0,Wallet,Cancelled,Backpack 4,Fashion,Bags,2200.0,11000.0,1100.0,9900.0
42,514,171,2024-08-27,5,10.0,Wallet,Delivered,Vacuum Cleaner 1,Home Appliances,Cleaning,9000.0,45000.0,4500.0,40500.0
43,401,189,2024-09-04,3,0.0,UPI,Delivered,Air Cooler 9,Home Appliances,Cooling,11000.0,33000.0,0.0,33000.0
44,767,96,2025-09-05,4,10.0,Wallet,Delivered,Smart Watch 6,Fashion,Watches,6500.0,26000.0,2600.0,23400.0
45,758,181,2024-06-21,3,5.0,Wallet,Delivered,Air Cooler 1,Home Appliances,Cooling,11000.0,33000.0,1650.0,31350.0
46,915,17,2024-08-13,5,15.0,Wallet,Delivered,Mobile 7,Electronics,Mobiles,25000.0,125000.0,18750.0,106250.0
47,671,169,2025-11-17,1,0.0,Net Banking,Delivered,Mixer Grinder 9,Home Appliances,Kitchen,4200.0,4200.0,0.0,4200.0
48,913,16,2025-06-01,4,5.0,Net Banking,Delivered,Mobile 6,Electronics,Mobiles,25000.0,100000.0,5000.0,95000.0
49,519,27,2024-11-02,3,0.0,Wallet,Delivered,Smart TV 7,Electronics,Television,45000.0,135000.0,0.0,135000.0
50,98,96,2024-10-08,4,5.0,UPI,Delivered,Smart Watch 6,Fashion,Watches,6500.0,26000.0,1300.0,24700.0
51,913,36,2024-04-23,2,5.0,Wallet,Delivered,Headphones 6,Electronics,Accessories,3500.0,7000.0,350.0,6650.0
52,23,42,2025-04-23,3,20.0,Cash,Delivered,Camera 2,Electronics,Cameras,50000.0,150000.0,30000.0,120000.0
53,86,124,2025-09-12,4,20.0,Net Banking,Delivered,Bookshelf 4,Furniture,Storage,9500.0,38000.0,7600.0,30400.0
54,79,27,2024-04-09,1,15.0,Cash,Delivered,Smart TV 7,Electronics,Television,45000.0,45000.0,6750.0,38250.0
55,11,135,2024-11-29,1,0.0,UPI,Delivered,Sofa 5,Furniture,Sofas,28000.0,28000.0,0.0,28000.0
56,454,174,2024-01-04,3,5.0,Wallet,Delivered,Vacuum Cleaner 4,Home Appliances,Cleaning,9000.0,27000.0,1350.0,25650.0
57,117,46,2025-05-17,2,5.0,Card,Delivered,Camera 6,Electronics,Cameras,50000.0,100000.0,5000.0,95000.0
58,230,114,2025-05-21,4,10.0,UPI,Delivered,Study Table 4,Furniture,Tables,12000.0,48000.0,4800.0,43200.0
59,81,170,2024-09-30,5,5.0,Cash,Delivered,Mixer Grinder 10,Home Appliances,Kitchen,4200.0,21000.0,1050.0,19950.0
60,570,40,2025-02-17,5,15.0,Wallet,Delivered,Headphones 10,Electronics,Accessories,3500.0,17500.0,2625.0,14875.0
61,9,65,2025-10-16,1,5.0,UPI,Delivered,Casual Shirt 5,Fashion,Clothing,1800.0,1800.0,90.0,1710.0
62,264,16,2024-09-02,3,20.0,Card,Delivered,Mobile 6,Electronics,Mobiles,25000.0,75000.0,15000.0,60000.0
63,43,9,2024-08-19,3,10.0,Wallet,Delivered,Laptop 9,Electronics,Computers,65000.0,195000.0,19500.0,175500.0
64,697,188,2024-01-16,3,20.0,Card,Delivered,Air Cooler 8,Home Appliances,Cooling,11000.0,33000.0,6600.0,26400.0
65,66,41,2024-04-03,5,10.0,Wallet,Delivered,Camera 1,Electronics,Cameras,50000.0,250000.0,25000.0,225000.0
66,873,167,2024-01-22,2,5.0,Wallet,Delivered,Mixer Grinder 7,Home Appliances,Kitchen,4200.0,8400.0,420.0,7980.0
67,317,127,2024-04-05,2,15.0,UPI,Delivered,Bookshelf 7,Furniture,Storage,9500.0,19000.0,2850.0,16150.0
68,741,79,2024-10-03,3,0.0,Card,Delivered,Jeans 9,Fashion,Clothing,2500.0,7500.0,0.0,7500.0
69,244,49,2025-03-18,1,20.0,Card,Delivered,Camera 9,Electronics,Cameras,50000.0,50000.0,10000.0,40000.0
70,644,62,2025-02-21,5,0.0,Card,Delivered,Casual Shirt 2,Fashion,Clothing,1800.0,9000.0,0.0,9000.0
71,509,185,2025-12-21,4,10.0,UPI,Delivered,Air Cooler 5,Home Appliances,Cooling,11000.0,44000.0,4400.0,39600.0
72,20,33,2025-03-05,1,20.0,Wallet,Delivered,Headphones 3,Electronics,Accessories,3500.0,3500.0,700.0,2800.0
73,982,20,2025-04-27,1,0.0,UPI,Delivered,Mobile 10,Electronics,Mobiles,25000.0,25000.0,0.0,25000.0
74,857,39,2025-06-20,1,5.0,Net Banking,Delivered,Headphones 9,Electronics,Accessories,3500.0,3500.0,175.0,3325.0
75,238,112,2024-07-18,2,15.0,Cash,Delivered,Study Table 2,Furniture,Tables,12000.0,24000.0,3600.0,20400.0
76,504,99,2024-06-21,2,0.0,Card,Delivered,Smart Watch 9,Fashion,Watches,6500.0,13000.0,0.0,13000.0
77,612,111,2025-06-02,5,10.0,Card,Delivered,Study Table 1,Furniture,Tables,12000.0,60000.0,6000.0,54000.0
78,193,110,2025-03-03,2,15.0,Wallet,Delivered,Office Chair 10,Furniture,Chairs,8500.0,17000.0,2550.0,14450.0
79,581,86,2024-03-08,3,0.0,UPI,Delivered,Backpack 6,Fashion,Bags,2200.0,6600.0,0.0,6600.0
80,258,162,2025-02-08,2,0.0,UPI,Delivered,Mixer Grinder 2,Home Appliances,Kitchen,4200.0,8400.0,0.0,8400.0
81,771,123,2024-10-06,3,20.0,UPI,Delivered,Bookshelf 3,Furniture,Storage,9500.0,28500.0,5700.0,22800.0
82,382,71,2025-11-27,1,20.0,Card,Delivered,Jeans 1,Fashion,Clothing,2500.0,2500.0,500.0,2000.0
83,28,22,2025-07-26,2,20.0,Wallet,Delivered,Smart TV 2,Electronics,Television,45000.0,90000.0,18000.0,72000.0
84,591,113,2024-02-14,3,15.0,UPI,Delivered,Study Table 3,Furniture,Tables,12000.0,36000.0,5400.0,30600.0
85,655,161,2025-05-11,5,20.0,Net Banking,Delivered,Mixer Grinder 1,Home Appliances,Kitchen,4200.0,21000.0,4200.0,16800.0
86,315,159,2025-05-22,5,10.0,Cash,Delivered,Coffee Maker 9,Home Appliances,Kitchen,5500.0,27500.0,2750.0,24750.0
87,845,30,2024-07-22,1,5.0,Card,Delivered,Smart TV 10,Electronics,Television,45000.0,45000.0,2250.0,42750.0
88,561,104,2024-03-16,5,15.0,Net Banking,Delivered,Office Chair 4,Furniture,Chairs,8500.0,42500.0,6375.0,36125.0
89,589,198,2024-08-29,5,0.0,Cash,Delivered,Air Fryer 8,Home Appliances,Kitchen,6500.0,32500.0,0.0,32500.0
90,840,159,2025-02-22,3,15.0,Wallet,Delivered,Coffee Maker 9,Home Appliances,Kitchen,5500.0,16500.0,2475.0,14025.0
91,490,61,2025-04-04,2,0.0,Wallet,Delivered,Casual Shirt 1,Fashion,Clothing,1800.0,3600.0,0.0,3600.0
92,370,140,2025-02-08,1,10.0,Card,Delivered,Sofa 10,Furniture,Sofas,28000.0,28000.0,2800.0,25200.0
93,228,103,2024-05-16,5,0.0,UPI,Delivered,Office Chair 3,Furniture,Chairs,8500.0,42500.0,0.0,42500.0
94,226,185,2024-12-30,3,15.0,Cash,Delivered,Air Cooler 5,Home Appliances,Cooling,11000.0,33000.0,4950.0,28050.0
95,887,45,2024-05-26,1,20.0,Wallet,Delivered,Camera 5,Electronics,Cameras,50000.0,50000.0,10000.0,40000.0
96,46,164,2024-07-08,2,20.0,UPI,Delivered,Mixer Grinder 4,Home Appliances,Kitchen,4200.0,8400.0,1680.0,6720.0
97,223,58,2024-09-13,2,10.0,Card,Delivered,Running Shoes 8,Fashion,Footwear,4500.0,9000.0,900.0,8100.0
98,976,140,2024-01-18,4,0.0,Cash,Delivered,Sofa 10,Furniture,Sofas,28000.0,112000.0,0.0,112000.0
99,818,53,2024-07-05,1,10.0,Wallet,Delivered,Running Shoes 3,Fashion,Footwear,4500.0,4500.0,450.0,4050.0
100,695,92,2024-08-10,3,10.0,Net Banking,Delivered,Smart Watch 2,Fashion,Watches,6500.0,19500.0,1950.0,17550.0
101,728,127,2025-04-17,4,20.0,Cash,Delivered,Bookshelf 7,Furniture,Storage,9500.0,38000.0,7600.0,30400.0
102,996,91,2025-03-08,1,5.0,Wallet,Delivered,Smart Watch 1,Fashion,Watches,6500.0,6500.0,325.0,6175.0
103,955,181,2025-06-06,4,0.0,Net Banking,Cancelled,Air Cooler 1,Home Appliances,Cooling,11000.0,44000.0,0.0,44000.0
104,726,164,2025-11-10,4,15.0,Net Banking,Cancelled,Mixer Grinder 4,Home Appliances,Kitchen,4200.0,16800.0,2520.0,14280.0
105,200,66,2025-07-16,4,15.0,Card,Delivered,Casual Shirt 6,Fashion,Clothing,1800.0,7200.0,1080.0,6120.0
106,810,80,2025-11-22,4,15.0,Wallet,Delivered,Jeans 10,Fashion,Clothing,2500.0,10000.0,1500.0,8500.0
107,868,142,2024-04-23,1,10.0,UPI,Delivered,Bed Frame 2,Furniture,Beds,22000.0,22000.0,2200.0,19800.0
108,572,175,2025-04-30,5,20.0,Cash,Delivered,Vacuum Cleaner 5,Home Appliances,Cleaning,9000.0,45000.0,9000.0,36000.0
109,789,145,2025-08-25,1,15.0,Net Banking,Delivered,Bed Frame 5,Furniture,Beds,22000.0,22000.0,3300.0,18700.0
110,39,111,2025-05-16,4,10.0,Wallet,Delivered,Study Table 1,Furniture,Tables,12000.0,48000.0,4800.0,43200.0
111,975,6,2024-07-16,4,15.0,Cash,Cancelled,Laptop 6,Electronics,Computers,65000.0,260000.0,39000.0,221000.0
112,680,113,2024-05-18,5,20.0,Wallet,Delivered,Study Table 3,Furniture,Tables,12000.0,60000.0,12000.0,48000.0
113,24,186,2024-01-31,4,5.0,UPI,Delivered,Air Cooler 6,Home Appliances,Cooling,11000.0,44000.0,2200.0,41800.0
114,141,41,2024-05-25,5,15.0,Wallet,Delivered,Camera 1,Electronics,Cameras,50000.0,250000.0,37500.0,212500.0
115,3,31,2025-08-20,2,20.0,Wallet,Delivered,Headphones 1,Electronics,Accessories,3500.0,7000.0,1400.0,5600.0
116,985,47,2024-01-12,2,10.0,Wallet,Cancelled,Camera 7,Electronics,Cameras,50000.0,100000.0,10000.0,90000.0
117,363,178,2024-07-25,1,10.0,UPI,Delivered,Vacuum Cleaner 8,Home Appliances,Cleaning,9000.0,9000.0,900.0,8100.0
118,574,147,2024-01-18,2,15.0,Wallet,Delivered,Bed Frame 7,Furniture,Beds,22000.0,44000.0,6600.0,37400.0
119,675,1,2025-01-12,2,10.0,Wallet,Delivered,Laptop 1,Electronics,Computers,65000.0,130000.0,13000.0,117000.0
120,860,30,2024-12-10,1,20.0,Card,Delivered,Smart TV 10,Electronics,Television,45000.0,45000.0,9000.0,36000.0
121,726,198,2024-07-26,1,15.0,Cash,Delivered,Air Fryer 8,Home Appliances,Kitchen,6500.0,6500.0,975.0,5525.0
122,442,189,2025-05-16,3,5.0,Cash,Delivered,Air Cooler 9,Home Appliances,Cooling,11000.0,33000.0,1650.0,31350.0
123,53,71,2024-07-12,3,15.0,UPI,Delivered,Jeans 1,Fashion,Clothing,2500.0,7500.0,1125.0,6375.0
124,396,45,2025-07-11,5,15.0,Wallet,Delivered,Camera 5,Electronics,Cameras,50000.0,250000.0,37500.0,212500.0
125,10,2,2024-02-18,3,15.0,Wallet,Delivered,Laptop 2,Electronics,Computers,65000.0,195000.0,29250.0,165750.0
126,604,106,2025-06-06,3,0.0,Net Banking,Delivered,Office Chair 6,Furniture,Chairs,8500.0,25500.0,0.0,25500.0
127,880,200,2024-11-13,3,0.0,Wallet,Delivered,Air Fryer 10,Home Appliances,Kitchen,6500.0,19500.0,0.0,19500.0
128,603,163,2024-11-14,5,0.0,Cash,Delivered,Mixer Grinder 3,Home Appliances,Kitchen,4200.0,21000.0,0.0,21000.0
129,624,138,2024-12-27,3,15.0,Net Banking,Delivered,Sofa 8,Furniture,Sofas,28000.0,84000.0,12600.0,71400.0
130,230,188,2024-04-08,5,10.0,UPI,Delivered,Air Cooler 8,Home Appliances,Cooling,11000.0,55000.0,5500.0,49500.0
131,272,188,2024-04-15,4,15.0,Net Banking,Delivered,Air Cooler 8,Home Appliances,Cooling,11000.0,44000.0,6600.0,37400.0
132,685,60,2025-06-16,5,15.0,Card,Delivered,Running Shoes 10,Fashion,Footwear,4500.0,22500.0,3375.0,19125.0
133,150,128,2025-10-30,5,5.0,Cash,Delivered,Bookshelf 8,Furniture,Storage,9500.0,47500.0,2375.0,45125.0
134,141,162,2024-07-25,2,20.0,Net Banking,Delivered,Mixer Grinder 2,Home Appliances,Kitchen,4200.0,8400.0,1680.0,6720.0
135,711,176,2024-05-12,1,0.0,Card,Delivered,Vacuum Cleaner 6,Home Appliances,Cleaning,9000.0,9000.0,0.0,9000.0
136,83,198,2025-06-02,5,0.0,UPI,Delivered,Air Fryer 8,Home Appliances,Kitchen,6500.0,32500.0,0.0,32500.0
137,206,43,2025-12-24,1,15.0,Net Banking,Delivered,Camera 3,Electronics,Cameras,50000.0,50000.0,7500.0,42500.0
138,897,136,2025-10-22,4,10.0,Net Banking,Delivered,Sofa 6,Furniture,Sofas,28000.0,112000.0,11200.0,100800.0
139,362,154,2025-12-15,1,5.0,Cash,Delivered,Coffee Maker 4,Home Appliances,Kitchen,5500.0,5500.0,275.0,5225.0
140,925,186,2024-02-06,2,0.0,Wallet,Delivered,Air Cooler 6,Home Appliances,Cooling,11000.0,22000.0,0.0,22000.0
141,913,160,2025-04-17,3,15.0,UPI,Delivered,Coffee Maker 10,Home Appliances,Kitchen,5500.0,16500.0,2475.0,14025.0
142,639,21,2025-03-27,5,10.0,Cash,Delivered,Smart TV 1,Electronics,Television,45000.0,225000.0,22500.0,202500.0
143,693,37,2024-07-16,4,0.0,Wallet,Delivered,Headphones 7,Electronics,Accessories,3500.0,14000.0,0.0,14000.0
144,684,184,2024-10-30,1,0.0,Net Banking,Delivered,Air Cooler 4,Home Appliances,Cooling,11000.0,11000.0,0.0,11000.0
145,596,195,2024-05-29,4,15.0,UPI,Delivered,Air Fryer 5,Home Appliances,Kitchen,6500.0,26000.0,3900.0,22100.0
146,144,36,2024-12-18,1,10.0,Net Banking,Delivered,Headphones 6,Electronics,Accessories,3500.0,3500.0,350.0,3150.0
147,755,71,2024-07-22,4,5.0,Wallet,Delivered,Jeans 1,Fashion,Clothing,2500.0,10000.0,500.0,9500.0
148,346,69,2024-07-26,2,20.0,Wallet,Delivered,Casual Shirt 9,Fashion,Clothing,1800.0,3600.0,720.0,2880.0
149,906,108,2024-02-16,1,0.0,Net Banking,Delivered,Office Chair 8,Furniture,Chairs,8500.0,8500.0,0.0,8500.0
150,819,107,2024-11-12,5,0.0,Net Banking,Delivered,Office Chair 7,Furniture,Chairs,8500.0,42500.0,0.0,42500.0
151,774,6,2024-02-15,3,20.0,UPI,Delivered,Laptop 6,Electronics,Computers,65000.0,195000.0,39000.0,156000.0
152,9,16,2025-12-16,2,5.0,UPI,Delivered,Mobile 6,Electronics,Mobiles,25000.0,50000.0,2500.0,47500.0
153,643,91,2024-01-14,2,5.0,Card,Delivered,Smart Watch 1,Fashion,Watches,6500.0,13000.0,650.0,12350.0
154,9,7,2024-09-20,4,10.0,UPI,Delivered,Laptop 7,Electronics,Computers,65000.0,260000.0,26000.0,234000.0
155,875,178,2025-04-22,1,5.0,UPI,Delivered,Vacuum Cleaner 8,Home Appliances,Cleaning,9000.0,9000.0,450.0,8550.0
156,21,183,2025-08-29,1,15.0,Wallet,Delivered,Air Cooler 3,Home Appliances,Cooling,11000.0,11000.0,1650.0,9350.0
157,855,143,2025-11-14,1,15.0,UPI,Delivered,Bed Frame 3,Furniture,Beds,22000.0,22000.0,3300.0,18700.0
158,52,23,2024-07-21,1,5.0,Net Banking,Delivered,Smart TV 3,Electronics,Television,45000.0,45000.0,2250.0,42750.0
159,703,16,2025-12-11,1,20.0,Card,Delivered,Mobile 6,Electronics,Mobiles,25000.0,25000.0,5000.0,20000.0
160,320,39,2024-11-23,3,10.0,Card,Delivered,Headphones 9,Electronics,Accessories,3500.0,10500.0,1050.0,9450.0
161,373,85,2024-06-13,2,0.0,Card,Delivered,Backpack 5,Fashion,Bags,2200.0,4400.0,0.0,4400.0
162,480,28,2024-02-25,3,0.0,Wallet,Delivered,Smart TV 8,Electronics,Television,45000.0,135000.0,0.0,135000.0
163,751,19,2025-10-22,1,5.0,Card,Delivered,Mobile 9,Electronics,Mobiles,25000.0,25000.0,1250.0,23750.0
164,891,35,2025-05-02,1,5.0,Wallet,Delivered,Headphones 5,Electronics,Accessories,3500.0,3500.0,175.0,3325.0
165,386,141,2025-11-05,5,15.0,Cash,Delivered,Bed Frame 1,Furniture,Beds,22000.0,110000.0,16500.0,93500.0
166,225,101,2025-12-25,1,20.0,Wallet,Delivered,Office Chair 1,Furniture,Chairs,8500.0,8500.0,1700.0,6800.0
167,852,5,2024-09-16,1,20.0,Wallet,Delivered,Laptop 5,Electronics,Computers,65000.0,65000.0,13000.0,52000.0
168,98,4,2024-02-15,2,10.0,Card,Delivered,Laptop 4,Electronics,Computers,65000.0,130000.0,13000.0,117000.0
169,738,128,2024-03-29,4,5.0,UPI,Delivered,Bookshelf 8,Furniture,Storage,9500.0,38000.0,1900.0,36100.0
170,622,144,2024-07-29,4,5.0,Wallet,Delivered,Bed Frame 4,Furniture,Beds,22000.0,88000.0,4400.0,83600.0
171,742,172,2025-11-06,1,10.0,Cash,Delivered,Vacuum Cleaner 2,Home Appliances,Cleaning,9000.0,9000.0,900.0,8100.0
172,933,156,2025-09-12,3,5.0,Cash,Delivered,Coffee Maker 6,Home Appliances,Kitchen,5500.0,16500.0,825.0,15675.0
173,269,122,2025-12-19,1,10.0,Wallet,Delivered,Bookshelf 2,Furniture,Storage,9500.0,9500.0,950.0,8550.0
174,652,75,2025-06-12,2,0.0,Card,Delivered,Jeans 5,Fashion,Clothing,2500.0,5000.0,0.0,5000.0
175,239,131,2025-06-20,3,10.0,UPI,Delivered,Sofa 1,Furniture,Sofas,28000.0,84000.0,8400.0,75600.0
176,845,155,2025-10-24,3,0.0,Wallet,Delivered,Coffee Maker 5,Home Appliances,Kitchen,5500.0,16500.0,0.0,16500.0
177,580,161,2025-08-16,3,5.0,Wallet,Delivered,Mixer Grinder 1,Home Appliances,Kitchen,4200.0,12600.0,630.0,11970.0
178,334,147,2025-11-30,5,10.0,Net Banking,Delivered,Bed Frame 7,Furniture,Beds,22000.0,110000.0,11000.0,99000.0
179,885,192,2024-11-18,1,15.0,UPI,Delivered,Air Fryer 2,Home Appliances,Kitchen,6500.0,6500.0,975.0,5525.0
180,312,46,2025-07-05,5,10.0,Net Banking,Delivered,Camera 6,Electronics,Cameras,50000.0,250000.0,25000.0,225000.0
181,134,155,2025-07-13,4,20.0,Net Banking,Delivered,Coffee Maker 5,Home Appliances,Kitchen,5500.0,22000.0,4400.0,17600.0
182,499,153,2024-12-06,3,10.0,Cash,Delivered,Coffee Maker 3,Home Appliances,Kitchen,5500.0,16500.0,1650.0,14850.0
183,564,26,2025-11-28,1,20.0,Net Banking,Delivered,Smart TV 6,Electronics,Television,45000.0,45000.0,9000.0,36000.0
184,838,69,2024-06-26,4,20.0,Wallet,Delivered,Casual Shirt 9,Fashion,Clothing,1800.0,7200.0,1440.0,5760.0
185,457,55,2025-01-31,4,20.0,Net Banking,Delivered,Running Shoes 5,Fashion,Footwear,4500.0,18000.0,3600.0,14400.0
186,319,131,2024-02-27,2,20.0,Card,Delivered,Sofa 1,Furniture,Sofas,28000.0,56000.0,11200.0,44800.0
187,778,193,2024-07-21,4,10.0,Card,Delivered,Air Fryer 3,Home Appliances,Kitchen,6500.0,26000.0,2600.0,23400.0
188,411,59,2024-02-09,1,5.0,Cash,Delivered,Running Shoes 9,Fashion,Footwear,4500.0,4500.0,225.0,4275.0
189,466,165,2025-08-01,1,5.0,Cash,Delivered,Mixer Grinder 5,Home Appliances,Kitchen,4200.0,4200.0,210.0,3990.0
190,716,96,2025-09-18,1,20.0,UPI,Delivered,Smart Watch 6,Fashion,Watches,6500.0,6500.0,1300.0,5200.0
191,880,185,2025-01-01,2,15.0,Card,Delivered,Air Cooler 5,Home Appliances,Cooling,11000.0,22000.0,3300.0,18700.0
192,253,126,2025-09-02,3,0.0,Cash,Delivered,Bookshelf 6,Furniture,Storage,9500.0,28500.0,0.0,28500.0
193,553,33,2024-11-23,5,10.0,Wallet,Delivered,Headphones 3,Electronics,Accessories,3500.0,17500.0,1750.0,15750.0
194,202,161,2024-05-24,4,10.0,Net Banking,Delivered,Mixer Grinder 1,Home Appliances,Kitchen,4200.0,16800.0,1680.0,15120.0
195,242,65,2025-09-02,5,10.0,Cash,Delivered,Casual Shirt 5,Fashion,Clothing,1800.0,9000.0,900.0,8100.0
196,736,21,2025-11-23,2,20.0,UPI,Delivered,Smart TV 1,Electronics,Television,45000.0,90000.0,18000.0,72000.0
197,882,161,2025-05-09,2,5.0,Card,Delivered,Mixer Grinder 1,Home Appliances,Kitchen,4200.0,8400.0,420.0,7980.0
198,120,133,2024-07-07,3,20.0,Net Banking,Cancelled,Sofa 3,Furniture,Sofas,28000.0,84000.0,16800.0,67200.0
199,641,126,2024-12-12,5,10.0,Net Banking,Delivered,Bookshelf 6,Furniture,Storage,9500.0,47500.0,4750.0,42750.0
200,148,66,2025-03-16,2,10.0,Net Banking,Delivered,Casual Shirt 6,Fashion,Clothing,1800.0,3600.0,360.0,3240.0
201,961,54,2024-02-02,5,5.0,Cash,Delivered,Running Shoes 4,Fashion,Footwear,4500.0,22500.0,1125.0,21375.0
202,565,164,2025-08-08,1,20.0,Net Banking,Cancelled,Mixer Grinder 4,Home Appliances,Kitchen,4200.0,4200.0,840.0,3360.0
203,239,177,2024-07-22,1,15.0,Wallet,Delivered,Vacuum Cleaner 7,Home Appliances,Cleaning,9000.0,9000.0,1350.0,7650.0
204,569,124,2024-10-30,2,15.0,Cash,Delivered,Bookshelf 4,Furniture,Storage,9500.0,19000.0,2850.0,16150.0
205,924,78,2024-06-28,5,10.0,Wallet,Delivered,Jeans 8,Fashion,Clothing,2500.0,12500.0,1250.0,11250.0
206,526,162,2024-02-14,5,10.0,Card,Delivered,Mixer Grinder 2,Home Appliances,Kitchen,4200.0,21000.0,2100.0,18900.0
